sample,timepoint,anisotropy
1,0,17665.215597258208
1,1,19380.26503557191
1,2,19663.510250716874
1,3,20449.779625329244
1,4,22736.047124731347
1,5,23722.533361507616
1,6,25101.008561967268
1,7,22082.904430819188
1,8,24857.179505305623
1,9,21529.50125582886
1,10,21832.83885243647
1,11,22025.13939749374
2,0,15133.449031980852
2,1,15880.249019745494
2,2,15566.216315992302
2,3,14411.877933121807
2,4,15023.072534930308
2,5,14476.818282266591
2,6,14751.199635165845
2,7,15266.283620312002
2,8,18267.75381086147
2,9,15393.59027795072
2,10,16511.993636733867
2,11,13341.207080057224
